"","company_name","overall_rating","num_reviews","company_url","headquarters","review_summary","link_to_reviews"
"6244","Swedish Medical Center","3.2","77","www.swedish.org","Seattle, WA","Great people to work with. Very small, close knit atmosphere. Very easy commute, good location. Low pay grade compared to other hospitals See all Reviews","http://www.glassdoor.com/Reviews/Swedish-Medical-Center-Reviews-E20077.htm"
"6245","Casual Male Retail Group","2.2","77","www.casualmalexl.com","Canton, MA","the customers are great the assortment is awesome love the change to dxl great store hours See all Reviews","http://www.glassdoor.com/Reviews/Casual-Male-Retail-Group-Reviews-E1330.htm"
"6246","Walking Company Holdings","2.7","76","www.thewalkingcompany.com","Santa Barbara, CA","They pay commission and are very flexible if you have another job or in school. See all Reviews","http://www.glassdoor.com/Reviews/Walking-Company-Holdings-Reviews-E7086.htm"
"6247","Credit Acceptance","3.4","75","www.creditacceptance.com","Southfield, MI","Free travel and free meals from your boss when they fly in and fly out. See all Reviews","http://www.glassdoor.com/Reviews/Credit-Acceptance-Reviews-E2194.htm"
"6248","Berry Plastics Group","3.4","75","www.berryplastics.com","Evansville, IN","it was clean and nice See all Reviews","http://www.glassdoor.com/Reviews/Berry-Plastics-Group-Reviews-E8775.htm"
"6249","Universal American","2.4","75","www.universalamerican.com","White Plains, NY","Salary is comparable to other organizations See all Reviews","http://www.glassdoor.com/Reviews/Universal-American-Reviews-E2002.htm"
"6250","Nelnet","3.4","75","www.nelnet.com","Lincoln, NE","Great PTO... i absolutely loved having 4 weeks off to start off with.. they also provided good stock option for my role See all Reviews","http://www.glassdoor.com/Reviews/Nelnet-Reviews-E22587.htm"
"6251","Activision Blizzard","3.4","74","www.activisionblizzard.com","Santa Monica, CA","- work life balance - fun place to work - laid back work environment Lots of new products rolling out and the sales team is about 5 years… See all Reviews","http://www.glassdoor.com/Reviews/Activision-Blizzard-Reviews-E605784.htm"
"6252","Pontoon Solutions","3.9","74","www.pontoonsolutions.com","Jacksonville, FL","Great Leadership/Management team Job advancement opportunities Excellent Diversity and Values Challenging Good work/life balance Terrific… See all Reviews","http://www.glassdoor.com/Reviews/Pontoon-Solutions-Reviews-E658744.htm"
"6253","BI Worldwide","3.4","74","www.biworldwide.com","Minneapolis, CA","Great base pay, activities bonus, selling interesting solutions, travel, fringe benefits See all Reviews","http://www.glassdoor.com/Reviews/BI-Worldwide-Reviews-E245302.htm"
"6254","FlightSafety International","2.6","74","www.flightsafety.com","Flushing, NY","team collaboration on projects, work remote See all Reviews","http://www.glassdoor.com/Reviews/FlightSafety-International-Reviews-E257.htm"
"6255","Agfa Healthcare","2.5","73","www.agfa.com","Mortsel, Belgium","Maybe the benefits but thats it See all Reviews","http://www.glassdoor.com/Reviews/Agfa-Healthcare-Reviews-E139919.htm"
"6256","CyberCoders","4.1","73","www.cybercoders.com","Irvine, CA","CyberCoders provides all of the tools you need to succeed. If you think you could be doing better your manager, training managers and even managers… See all Reviews","http://www.glassdoor.com/Reviews/CyberCoders-Reviews-E245479.htm"
"6257","United States Congress","4.0","73","www.congress.gov","Washington, DC","I worked as an intern at Congresswoman Carolyn Maloney's District Office and I thought it was a great networking opportunity for someone who had… See all Reviews","http://www.glassdoor.com/Reviews/United-States-Congress-Reviews-E226176.htm"
"6258","Health Fitness","3.1","73","www.healthfitness.com","Minneapolis, MN","Health Fitness does a great job of offering career development and demonstrating qualities that show they have their employees best interest in mind. See all Reviews","http://www.glassdoor.com/Reviews/Health-Fitness-Reviews-E3827.htm"
"6259","Industrial and Commercial Bank of China","4.1","72","www.icbc.com.cn","Beijing, China","-Great Clients -Could use your financial knowledge a lot -Lots of financial analysis See all Reviews","http://www.glassdoor.com/Reviews/Industrial-and-Commercial-Bank-of-China-Reviews-E40639.htm"
"6260","DS Services of America","2.1","72","www.water.com","Atlanta, GA","flexible hours with opportunity for increased revenue See all Reviews","http://www.glassdoor.com/Reviews/DS-Services-of-America-Reviews-E18014.htm"
"6261","Celerity, LLC","3.9","72","www.celerity.com","Mc Lean, VA","Health Insurance benefits, Dental coverage See all Reviews","http://www.glassdoor.com/Reviews/Celerity-LLC-Reviews-E133704.htm"
"6262","Defense Commissary Agency","2.7","71","www.commissaries.com","Fort Lee, VA","long, dull work. close to my place, managers competent, easy to negotiate hours and vacations. friendly customers and corporate staff See all Reviews","http://www.glassdoor.com/Reviews/Defense-Commissary-Agency-Reviews-E41284.htm"
"6263","LiquidHub","2.9","71","www.liquidhub.com","Wayne, PA","New leadership transforming direction; seen as an alternative to Tier-1 integrators; Industry focused with specialization in Digital See all Reviews","http://www.glassdoor.com/Reviews/LiquidHub-Reviews-E240835.htm"
"6264","WageWorks","2.3","71","www.wageworks.com","San Mateo, CA","great product, great technology, aggressive team See all Reviews","http://www.glassdoor.com/Reviews/WageWorks-Reviews-E30918.htm"
"6265","CORESTAFF Services","3.2","71","www.corestaff.com","Houston, TX","nice office space with good convenient location. a few of the employees are nice friendly people to work with and that's about it. See all Reviews","http://www.glassdoor.com/Reviews/CORESTAFF-Services-Reviews-E16228.htm"
"6266","United Stationers","3.5","70","www.unitedstationers.com","Deerfield, IL","good co workres grate pay See all Reviews","http://www.glassdoor.com/Reviews/United-Stationers-Reviews-E1997.htm"
"6267","Lieberman Research Worldwide","3.5","69","www.lrwonline.com","Los Angeles, CA","The opportunity to do high level work. To explore the most advanced analytic methods in interesting custom studies. To work with very knowledgeable… See all Reviews","http://www.glassdoor.com/Reviews/Lieberman-Research-Worldwide-Reviews-E35348.htm"
"6268","Diamond Wireless","2.6","69","www.diamond-wireless.com","Salt Lake City, UT","can make a lot of money See all Reviews","http://www.glassdoor.com/Reviews/Diamond-Wireless-Reviews-E310010.htm"
"6269","AMA","3.2","69","www.ama-assn.org","Chicago, IL","This organization is the most prestigious in its field which means you carry a lot of weight with this brand and therefore can get a lot of things… See all Reviews","http://www.glassdoor.com/Reviews/AMA-Reviews-E5394.htm"
"6270","DONE by NONE","3.1","68","www.donebynone.com","Gurgaon, India","greate inviroment for people they want to feel ok See all Reviews","http://www.glassdoor.com/Reviews/DONE-by-NONE-Reviews-E619738.htm"
